year,month,resNm,ForNum,NatNum
2011,10,경복궁,164752,518742
2011,10,창경궁,2990,97869
2011,10,종묘,26324,45339
2011,10,국립중앙박물관,0,263728
2011,10,서울역사박물관,0,103723
2011,10,덕수궁,18972,137870
2011,10,서울시립미술관 본관,0,76839
2011,10,태릉 ·  강릉 · 조선왕릉전시관,47,16681
2011,10,서대문형무소역사관,0,56041
2011,10,서대문자연사박물관,0,27909
2011,10,트릭아이미술관,2046,8386
2011,10,헌릉ㆍ인릉,441,7901
2011,10,선릉·정릉,6542,44530
2011,10,롯데월드,33938,509114
2011,11,창덕궁,62683,160836
2011,11,운현궁,0,20705
2011,11,경복궁,126301,304318
2011,11,창경궁,3469,61697
2011,11,종묘,23679,37579
2011,11,국립중앙박물관,0,199058
2011,11,서울역사박물관,0,85835
2011,11,덕수궁,16045,107467
2011,11,서울시립미술관 본관,0,112560
2011,11,태릉 ·  강릉 · 조선왕릉전시관,32,5795
2011,11,서대문형무소역사관,0,39012
2011,11,서대문자연사박물관,0,27599
2011,11,트릭아이미술관,3329,7909
2011,11,헌릉ㆍ인릉,441,3413
2011,11,선릉·정릉,7176,33425
2011,11,롯데월드,30793,454189
2011,12,창덕궁,44722,75991
2011,12,운현궁,0,11017
2011,12,경복궁,132399,237330
2011,12,창경궁,3133,21267
2011,12,종묘,18226,24223
2011,12,국립중앙박물관,0,233828
2011,12,서울역사박물관,0,93554
2011,12,덕수궁,13935,52140
2011,12,서울시립미술관 본관,0,61115
2011,12,태릉 ·  강릉 · 조선왕릉전시관,10,1885
2011,12,서대문형무소역사관,0,32412
2011,12,서대문자연사박물관,0,19308
2011,12,트릭아이미술관,5214,6956
2011,12,헌릉ㆍ인릉,333,1823
2011,12,선릉·정릉,4704,16634
2011,12,롯데월드,52484,642290
2012,01,창덕궁,32210,31760
2012,01,운현궁,1093,6907
2012,01,경복궁,109310,114505
2012,01,창경궁,2295,17458
2012,01,종묘,12293,5856
2012,01,국립중앙박물관,6106,229035
2012,01,서울역사박물관,1161,93801
2012,01,덕수궁,14033,40041
2012,01,서울시립미술관 본관,0,66605
2012,01,태릉 ·  강릉 · 조선왕릉전시관,214,904
2012,01,서대문형무소역사관,4783,17410
2012,01,서대문자연사박물관,0,29042
2012,01,트릭아이미술관,8356,12797
2012,01,헌릉ㆍ인릉,154,1236
2012,01,선릉·정릉,3204,10750
2012,01,롯데월드,61180,528011
2012,02,창덕궁,33764,37326
2012,02,운현궁,1130,8111
2012,02,경복궁,79221,169684
2012,02,창경궁,2631,20267
2012,02,종묘,13879,5016
2012,02,국립중앙박물관,6973,161943
2012,02,서울역사박물관,1090,79407
2012,02,덕수궁,11564,36900
2012,02,서울시립미술관 본관,0,68784
2012,02,태릉 ·  강릉 · 조선왕릉전시관,143,796
2012,02,서대문형무소역사관,4557,52249
2012,02,서대문자연사박물관,0,18713
2012,02,트릭아이미술관,8536,15243
2012,02,헌릉ㆍ인릉,229,1273
2012,02,선릉·정릉,4310,11893
2012,02,롯데월드,32489,479020
2012,03,창덕궁,50318,50573
2012,03,운현궁,1602,10487
2012,03,경복궁,100000,233028
2012,03,창경궁,3861,27647
2012,03,종묘,20341,21429
2012,03,국립중앙박물관,9021,154580
2012,03,서울역사박물관,1441,106514
2012,03,덕수궁,11675,40244
2012,03,서울시립미술관 본관,0,45941
2012,03,태릉 ·  강릉 · 조선왕릉전시관,22,1757
2012,03,서대문형무소역사관,3472,20586
2012,03,서대문자연사박물관,0,30889
2012,03,트릭아이미술관,9705,12144
2012,03,헌릉ㆍ인릉,341,2657
2012,03,선릉·정릉,4746,20797
2012,03,롯데월드,27841,401717
2012,04,창덕궁,61918,101738
2012,04,운현궁,2439,16813
2012,04,경복궁,134279,336255
2012,04,창경궁,4553,75936
2012,04,종묘,24327,27411
2012,04,국립중앙박물관,12678,215851
2012,04,서울역사박물관,2078,133570
2012,04,덕수궁,17003,66246
2012,04,서울시립미술관 본관,0,65663
2012,04,태릉 ·  강릉 · 조선왕릉전시관,28,4126
2012,04,서대문형무소역사관,3423,53840
2012,04,서대문자연사박물관,0,30026
2012,04,트릭아이미술관,12132,9626
2012,04,헌릉ㆍ인릉,434,4695
2012,04,선릉·정릉,7214,42458
2012,04,롯데월드,33524,509788
2012,05,창덕궁,65797,133635
2012,05,운현궁,2631,24690
2012,05,경복궁,117936,481103
2012,05,창경궁,4117,80267
2012,05,종묘,24439,27823
2012,05,국립중앙박물관,15689,306757
2012,05,서울역사박물관,2123,269387
2012,05,덕수궁,17252,89515
2012,05,서울시립미술관 본관,0,156643
2012,05,태릉 ·  강릉 · 조선왕릉전시관,45,7100
2012,05,서대문형무소역사관,5632,127886
2012,05,서대문자연사박물관,0,23186
2012,05,트릭아이미술관,9398,12307
2012,05,헌릉ㆍ인릉,486,7436
2012,05,선릉·정릉,8016,49540
2012,05,롯데월드,23966,504975
2012,06,창덕궁,57013,76116
2012,06,운현궁,1856,17914
2012,06,경복궁,112631,224854
2012,06,창경궁,3319,47308
2012,06,종묘,23566,16248
2012,06,국립중앙박물관,16931,230204
2012,06,서울역사박물관,1743,182096
2012,06,덕수궁,15057,69169
2012,06,서울시립미술관 본관,0,139584
2012,06,태릉 ·  강릉 · 조선왕릉전시관,35,5086
2012,06,서대문형무소역사관,3422,76369
2012,06,서대문자연사박물관,0,33053
2012,06,트릭아이미술관,12082,10184
2012,06,헌릉ㆍ인릉,381,6406
2012,06,선릉·정릉,6890,36509
2012,06,롯데월드,34373,421214
2012,07,창덕궁,50216,48983
2012,07,운현궁,1916,10412
2012,07,경복궁,138101,193169
2012,07,창경궁,3350,26241
2012,07,종묘,18653,12400
2012,07,국립중앙박물관,20533,277935
2012,07,서울역사박물관,2175,160020
2012,07,덕수궁,15909,43076
2012,07,서울시립미술관 본관,0,103733
2012,07,태릉 ·  강릉 · 조선왕릉전시관,31,2031
2012,07,서대문형무소역사관,5190,16839
2012,07,서대문자연사박물관,0,31982
2012,07,트릭아이미술관,12279,16049
2012,07,헌릉ㆍ인릉,329,2111
2012,07,선릉·정릉,5546,21715
2012,07,롯데월드,53359,486936
2012,08,창덕궁,52796,52876
2012,08,운현궁,1999,9755
2012,08,경복궁,168712,202572
2012,08,창경궁,3565,26882
2012,08,종묘,20343,12345
2012,08,국립중앙박물관,20914,434529
2012,08,서울역사박물관,2175,181507
2012,08,덕수궁,14081,45103
2012,08,서울시립미술관 본관,0,156966
2012,08,태릉 ·  강릉 · 조선왕릉전시관,121,1714
2012,08,서대문형무소역사관,8401,82241
2012,08,서대문자연사박물관,0,43775
2012,08,트릭아이미술관,0,0
2012,08,헌릉ㆍ인릉,527,1593
2012,08,선릉·정릉,4672,17434
2012,08,롯데월드,81427,594598
2012,09,창덕궁,52775,76660
2012,09,운현궁,3209,34242
2012,09,경복궁,106412,296957
2012,09,창경궁,2736,42107
2012,09,종묘,22209,13121
2012,09,국립중앙박물관,13725,219211
2012,09,서울역사박물관,1666,175273
2012,09,덕수궁,11711,49013
2012,09,서울시립미술관 본관,0,79396
2012,09,태릉 ·  강릉 · 조선왕릉전시관,64,3278
2012,09,서대문형무소역사관,6102,24364
2012,09,서대문자연사박물관,0,21241
2012,09,트릭아이미술관,0,0
2012,09,헌릉ㆍ인릉,374,3848
2012,09,선릉·정릉,5628,32681
2012,09,롯데월드,38382,394611
2012,10,창덕궁,57349,144268
2012,10,운현궁,2457,29285
2012,10,경복궁,138532,520733
2012,10,창경궁,4008,125906
2012,10,종묘,16198,21956
2012,10,국립중앙박물관,20894,265513
2012,10,서울역사박물관,4047,125261
2012,10,덕수궁,14512,143940
2012,10,서울시립미술관 본관,0,147860
2012,10,태릉 ·  강릉 · 조선왕릉전시관,78,19554
2012,10,서대문형무소역사관,5860,35768
2012,10,서대문자연사박물관,0,25009
2012,10,트릭아이미술관,28799,12870
2012,10,헌릉ㆍ인릉,318,7365
2012,10,롯데월드,44389,500556
2012,11,창덕궁,45427,89575
2012,11,운현궁,1082,19029
2012,11,경복궁,113319,192476
2012,11,창경궁,3748,52830
2012,11,종묘,12797,15881
2012,11,국립중앙박물관,16857,231618
2012,11,서울역사박물관,3537,96291
2012,11,덕수궁,13791,97241
2012,11,서울시립미술관 본관,0,120222
2012,11,태릉 ·  강릉 · 조선왕릉전시관,21,4841
2012,11,서대문형무소역사관,5364,21556
2012,11,서대문자연사박물관,0,31214
